Parcel,Paquete
Tracking number,Número de rastreo
Tracking code provided by the carrier.,Número de rastreo brindado por el transportista.
Carrier,Transportista
Name of the carrier handling the shipment.,Nombre del transportista que maneja el envío.
Current status of the parcel.,Estado actual del paquete.
Track,Rastrear
Parcel is requested to be tracked.,Se solicita el seguimiento del paquete.
Additional data from carrier,Datos adicionales del transportista
Carrier estimated delivery date,Fecha de entrega estimada del transportista
Estimated delivery date provided by the carrier (if available).,Fecha de entrega estimada proporcionada por el transportista (si está disponible).
Carrier real delivery date,Fecha de entrega real del transportista
Delivery date time (timezone aware) provided by the carrier (if available).,Fecha y hora de entrega (consciente de la zona horaria) proporcionada por el transportista (si está disponible).
Carrier estimated weight,Peso estimado según el transportista
Estimated weight of the package as measured by the carrier (if available).,Peso estimado del paquete medido por el transportista (si está disponible).

Carrier status,Estado según el transportista
The current status of the package provided by the carrier (if available),El estado actual del paquete proporcionado por el transportista (si está disponible)
Awaiting Receipt,Esperando Recepción
Awaiting Confirmation,Esperando Confirmación
In Extraordinary Confirmation,En Confirmación Extraordinaria
Awaiting Departure,Esperando Despacho
In Customs,En Aduana
Sorting,Clasificando
Available to Pickup,Disponible para Retirar

Carrier status detail,Detalle del estado según el transportista
Signed by,Firmado por
The name of the person who signed for the package (if available).,El nombre de la persona que firmó el paquete (si está disponible).
Carrier last detail, Última actualización del transportista
Additional data from customer,Datos adicionales de el cliente
Shipper,Vendedor
Store that sends the package.,Tienda que envía el paquete.
Notes or instructions,Notas o instrucciones
Total declared value in package.,Valor total declarado del paquete.
Internal data,Datos internos
Consignee name,Nombre del consignatario
Name on the package label.,Nombre en la etiqueta del paquete.
Real weight measured,Peso real medido
Pieces,Piezas
Quantity of packages in shipment.,Cantidad de paquetes en el envío.

Visit carrier detail page,Visitar página de detalles del transportista
apps/parcel_management/parcel_management/parcel_management/doctype/parcel/parcel.json +6,Update data from carrier,Actualizar datos del transportista

All active parcels,Todos los paquetes activos
Without carrier data,Sin datos del transportista
Arriving today,Llegando hoy
Arrived today,Llegaron hoy
Available for pickup at post office,Disponible para recoger en la oficina postal
This week pending confirmation,Pendientes de confirmación de esta semana
All pending confirmation,Todos los pendientes de confirmación

Parcel Quotation,Cotización de paquete
Transit days,Días de transito
Calculated days taken from departure to arrival.,Dias calculados que se toma desde el despacho hasta el arrivo.
Detail pricing rules,TODO
Purchase assistance,TODO

Warehouse Receipt, Recibo de almacén
Current status of the warehouse receipt.,Estado acual del recibo de almacén.
Target warehouse,Almacén de destino
Warehouse where reception occurred.,Almacén donde se produjo la recepción.
Real date of document generation.,Fecha real de generación del documento.
Weight in pounds provided by the warehouse (if available).,Peso en libras proporcionado por el almacén (si está disponible).
Count of pieces(boxes) provided by the warehouse (if available).,Recuento de piezas (cajas) proporcionadas por el almacén (si está disponible).
Additional data,Datos adicionales
Warehouse receipt scan,Escaneo del recibo de almacén
Parcels in Warehouse Receipt,Paquetes en el recibo de almacén
Packages received in warehouse receipt.,paquetes recibidos en recibo de almacén.

Shipment,Embarque
Number or Identifier,Número o identificador
Status of Shipment,Estado del embarque
Transportation Type,Tipo de transporte
Internal Notes only,Notas internas solamente
Warehouse Receipts,Recibos de almacén

Parcel Settings,Configuración de Paquetes

Save,Guardar
apps/frappe/frappe/public/js/frappe/form/sidebar/form_sidebar.js +260,{0} edited this {1},{0} editaste esto {1}
