Package Settings,Configuraciones de paquete

Package,Paquete
Tracking number,Número de rastreo
Tracking code provided by the carrier.,Número de rastreo brindado por el transportista.
Carrier,Transportista
Name of the carrier handling the shipment.,Nombre del transportista que maneja el envío.

Awaiting Receipt,Esperando Recepción
Awaiting Confirmation,Esperando Confirmación
In Extraordinary Confirmation,En Confirmación Extraordinaria
Awaiting Departure,Esperando Despacho
In Customs,En Aduana
Sorting,Clasificando
Available to Pickup,Disponible para Retirar

Track,Rastrear
Package is requested to be tracked.,Se solicita el seguimiento del paquete.
Additional data from carrier,Datos adicionales del transportista
Carrier estimated delivery date,Fecha de entrega estimada del transportista
Estimated delivery date provided by the carrier (if available).,Fecha de entrega estimada proporcionada por el transportista (si está disponible).
Carrier real delivery date,Fecha de entrega real del transportista
Delivery date time (timezone aware) provided by the carrier (if available).,Fecha y hora de entrega (consciente de la zona horaria) proporcionada por el transportista (si está disponible).
Carrier estimated weight,Peso estimado según el transportista
Estimated weight of the package as measured by the carrier (if available).,Peso estimado del paquete medido por el transportista (si está disponible).

Carrier status,Estado según el transportista
The current status of the package provided by the carrier (if available),El estado actual del paquete proporcionado por el transportista (si está disponible)
Delivered,Entregado

Carrier status detail,Detalle del estado según el transportista
Arrived At Destination,Llegó a destino

Signed by,Firmado por
The name of the person who signed for the package (if available).,El nombre de la persona que firmó el paquete (si está disponible).
Carrier last detail, Última actualización del transportista
Additional data from customer,Datos adicionales de el cliente
Shipper,Vendedor
Store that sends the package.,Tienda que envía el paquete.
Notes or instructions.,Notas o instrucciones.
Order number,Número de orden
Total declared value in package.,Valor total declarado del paquete.
Internal data,Datos internos
Consignee name,Nombre del consignatario
Name on the package label.,Nombre en la etiqueta del paquete.
The gross weight of the package.,El peso bruto del paquete.
Quantity of packages in shipment.,Cantidad de paquetes en el envío.

Visit carrier detail page,Visitar página de detalles del transportista
Update data from carrier,Actualizar datos del transportista

All active packages,Todos los paquetes activos
Without carrier data,Sin datos del transportista
Arriving today,Llegando hoy
Arrived today,Llegaron hoy
Arriving Late,Llegando tarde
Available for pickup at post office,Disponible para recoger en la oficina postal
This week pending confirmation,Pendientes de confirmación de esta semana
All pending confirmation,Todos los pendientes de confirmación

Package is configured not to track.,El paquete está configurado para no rastrear.
Package is handled by a carrier we can't track.,El paquete lo maneja un transportista que no podemos rastrear.
Package has been updated from API.,El paquete se ha actualizado desde el API.

Package Quotation,Cotización de paquete
Transit days,Días de tránsito
Approximate days taken from departure to arrival.,Días aproximados tomados desde el despacho hasta el arribo.
Detail pricing,Precios detallados
Purchase assistance,Asistencia de compra
Total import cost,Costo total de importación
"This cost is an approximate, the total may vary depending on the actual weight of the package and/or changes in the value of the product.","Este costo es un aproximado, el total puede variar segun el peso real del paquete y/o cambios en el valor del producto."

Render Quotation,Visualizar Cotización

Warehouse Receipt,Recibo de almacén
Target warehouse,Almacén de destino
Warehouse where reception occurred.,Almacén donde se produjo la recepción.
Real date of document generation.,Fecha real de generación del documento.
Real departure date of cargo shipment to his final destination.,Fecha real de despacho del envío de carga a su destino final.
Packages in Warehouse Receipt,Paquetes en el recibo de almacén

Cargo Shipment,Envío de Carga
Transportation type,Tipo de transporte
Warehouse Receipts in Cargo Shipment,Recibos de almacén en el envío de carga

Cargo Shipment Receipt,Recibo de envío de carga
Reference of the cargo shipment to be received.,Referencia del envío de carga a recibir.
Warehouse Receipts in Cargo Shipment Receipt,Recibos de almacén en el recibo de envío de carga
Packages in Cargo Shipment Receipt,Paquetes en el recibo de envío de carga

Pieces,Piezas
Internal reference code.,Código de referencia interno.
Weight in pounds provided by the warehouse (if available).,Peso en libras proporcionado por el almacén (si está disponible).
Count of pieces(boxes) provided by the warehouse (if available).,Recuento de piezas (cajas) proporcionadas por el almacén (si está disponible).
Departure date,Fecha de despacho
Arrival Date,Fecha de arribo
